dataset_id,table_id,column_name,column_label,column_description,column_role,value_type,term_iri,property_iri,entity_iri,unit_iri,constraint_iri,method_iri,required
spsr,cu_metadata,tr,Target Reference,"A management target reference point that represents a desirable level for the stock, above the USR.",attribute,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,rr,Removal Reference,Removal Reference (RR) represents the maximum allowable removal rate (fraction of the population that can be harvested).,attribute,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,lower_bio_benchmark,Lower Biological Benchmark,Definition not provided.,measurement,number,https://w3id.org/gcdfo/salmon#LowerBiologicalBenchmark,http://qudt.org/vocab/quantitykind/DimensionlessRatio,https://w3id.org/gcdfo/salmon#ConservationUnit,http://qudt.org/vocab/unit/UNITLESS,https://w3id.org/gcdfo/salmon#ManagementReferenceContext,,
spsr,cu_metadata,upper_bio_benchmark,Upper Biological Benchmark,Definition not provided.,measurement,number,https://w3id.org/gcdfo/salmon#UpperBiologicalBenchmark,http://qudt.org/vocab/quantitykind/DimensionlessRatio,https://w3id.org/gcdfo/salmon#ConservationUnit,http://qudt.org/vocab/unit/UNITLESS,https://w3id.org/gcdfo/salmon#ManagementReferenceContext,,
spsr,cu_metadata,lower_wsp_benchmark,Lower WSP Benchmark,Lower Wild Salmon Policy Benchmark,measurement,number,https://w3id.org/gcdfo/salmon#LowerBiologicalBenchmark,http://qudt.org/vocab/quantitykind/DimensionlessRatio,https://w3id.org/gcdfo/salmon#ConservationUnit,http://qudt.org/vocab/unit/UNITLESS,https://w3id.org/gcdfo/salmon#ManagementReferenceContext,,
spsr,cu_metadata,upper_wsp_benchmark,Upper WSP Benchmark,Upper Wild Salmon Policy Benchmark,measurement,number,https://w3id.org/gcdfo/salmon#UpperBiologicalBenchmark,http://qudt.org/vocab/quantitykind/DimensionlessRatio,https://w3id.org/gcdfo/salmon#ConservationUnit,http://qudt.org/vocab/unit/UNITLESS,https://w3id.org/gcdfo/salmon#ManagementReferenceContext,,
spsr,cu_metadata,start_year,Start Year,The start year the times series index became available.,temporal,integer,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,end_year,End Year,"The year the unit (i.e., population, CU, SMU, etc.) reached the end of its time series index.",temporal,integer,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,method_collection,Data Collection Methods,"Notes on data collection methds (data sources, methods, etc.).",attribute,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,method_analysis,Data Analysis Methods,"Notes on data analysis (infill methods, analytical methods, etc.).",attribute,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,year_type,Year Method,"The type of year definition that is used in the dataset (e.g., calendar year, brood year).",categorical,string,https://w3id.org/gcdfo/salmon#YearBasis,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,age_type,Age Method,"The type of age definition that is used in the dataset (e.g., freshwater age, ocean age).",categorical,string,https://w3id.org/gcdfo/salmon#AgeNotation,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,information_quality,Information Quality,"Quality of the dataset quantified from 1-5 based on the data quality framework in Ogden 2015, section 2.3,",attribute,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,index_quality,Index Quality,Quality of the dataset quantified from 1-5 based on New Zealand Quality Index.,categorical,string,https://w3id.org/gcdfo/salmon#ConfidenceCategory,,https://w3id.org/gcdfo/salmon#ConservationUnit,,https://w3id.org/gcdfo/salmon#DataQualityRatingContext,,
spsr,cu_metadata,reference,Reference,Plain text reference for the report that the data was derived from.,attribute,string,http://purl.org/dc/terms/bibliographicCitation,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,contact,Contact,Name and email contact for a data steward or expert who provided the data.,attribute,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,comments,Comments,Additional comments about the time series from data providers or stewards.,attribute,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,smu_metadata,smu_id,SMU ID,Alphanumeric ID number for stock management unit (SMU) demographic unit. An official list of SMU ID's and corresponding names can be found in the NuSEDS CU/SMU Crosswalk,identifier,string,,,https://w3id.org/gcdfo/salmon#StockManagementUnit,,,,
